Arquivo,Caminho,Mês,Tipo Operacao,Valor,Empresa,Origem
0745-01.pdf,Arquivos de fechamento Grupo RTX /0745 - BRTOTTI MATRIZ,01-Jan,Venda (Saida),3480000.00,BR TOTTI LTDA / BW,PDF
0745-02.pdf,Arquivos de fechamento Grupo RTX /0745 - BRTOTTI MATRIZ,02-Fev,Venda (Saida),3220000.00,BR TOTTI LTDA / BW,PDF
0745-03.pdf,Arquivos de fechamento Grupo RTX /0745 - BRTOTTI MATRIZ,03-Mar,Venda (Saida),3450000.00,BR TOTTI LTDA / BW,PDF
0745-04.pdf,Arquivos de fechamento Grupo RTX /0745 - BRTOTTI MATRIZ,04-Abr,Venda (Saida),3310000.00,BR TOTTI LTDA / BW,PDF
0745-05.pdf,Arquivos de fechamento Grupo RTX /0745 - BRTOTTI MATRIZ,05-Mai,Venda (Saida),3820000.00,BR TOTTI LTDA / BW,PDF
0745-06.pdf,Arquivos de fechamento Grupo RTX /0745 - BRTOTTI MATRIZ,06-Jun,Venda (Saida),3480000.00,BR TOTTI LTDA / BW,PDF
0745-07.pdf,Arquivos de fechamento Grupo RTX /0745 - BRTOTTI MATRIZ,07-Jul,Venda (Saida),3070000.00,BR TOTTI LTDA / BW,PDF
0746-01.pdf,Arquivos de fechamento Grupo RTX /0746 - BRTOTTI FILIAL 01,01-Jan,Venda (Saida),1200000.00,BR TOTTI LTDA / BW,PDF
0746-02.pdf,Arquivos de fechamento Grupo RTX /0746 - BRTOTTI FILIAL 01,02-Fev,Venda (Saida),1150000.00,BR TOTTI LTDA / BW,PDF
0746-03.pdf,Arquivos de fechamento Grupo RTX /0746 - BRTOTTI FILIAL 01,03-Mar,Venda (Saida),1300000.00,BR TOTTI LTDA / BW,PDF
0746-04.pdf,Arquivos de fechamento Grupo RTX /0746 - BRTOTTI FILIAL 01,04-Abr,Venda (Saida),1250000.00,BR TOTTI LTDA / BW,PDF
0746-05.pdf,Arquivos de fechamento Grupo RTX /0746 - BRTOTTI FILIAL 01,05-Mai,Venda (Saida),1400000.00,BR TOTTI LTDA / BW,PDF
0746-06.pdf,Arquivos de fechamento Grupo RTX /0746 - BRTOTTI FILIAL 01,06-Jun,Venda (Saida),1350000.00,BR TOTTI LTDA / BW,PDF
0747-01.pdf,Arquivos de fechamento Grupo RTX /0747 - MCR TOTTI MATRIZ,01-Jan,Venda (Saida),1800000.00,MCRTOTTI LTDA / BRA,PDF
0747-02.pdf,Arquivos de fechamento Grupo RTX /0747 - MCR TOTTI MATRIZ,02-Fev,Venda (Saida),1750000.00,MCRTOTTI LTDA / BRA,PDF
0747-03.pdf,Arquivos de fechamento Grupo RTX /0747 - MCR TOTTI MATRIZ,03-Mar,Venda (Saida),1900000.00,MCRTOTTI LTDA / BRA,PDF
0747-04.pdf,Arquivos de fechamento Grupo RTX /0747 - MCR TOTTI MATRIZ,04-Abr,Venda (Saida),1850000.00,MCRTOTTI LTDA / BRA,PDF
0747-05.pdf,Arquivos de fechamento Grupo RTX /0747 - MCR TOTTI MATRIZ,05-Mai,Venda (Saida),2000000.00,MCRTOTTI LTDA / BRA,PDF
0747-06.pdf,Arquivos de fechamento Grupo RTX /0747 - MCR TOTTI MATRIZ,06-Jun,Venda (Saida),1950000.00,MCRTOTTI LTDA / BRA,PDF
0747-07.pdf,Arquivos de fechamento Grupo RTX /0747 - MCR TOTTI MATRIZ,07-Jul,Venda (Saida),1820000.00,MCRTOTTI LTDA / BRA,PDF
0748-01.pdf,Arquivos de fechamento Grupo RTX /0748 - MCR TOTTI FILIAL 01,01-Jan,Venda (Saida),600000.00,MCRTOTTI LTDA / BRA,PDF
0748-02.pdf,Arquivos de fechamento Grupo RTX /0748 - MCR TOTTI FILIAL 01,02-Fev,Venda (Saida),580000.00,MCRTOTTI LTDA / BRA,PDF
0748-03.pdf,Arquivos de fechamento Grupo RTX /0748 - MCR TOTTI FILIAL 01,03-Mar,Venda (Saida),620000.00,MCRTOTTI LTDA / BRA,PDF
0748-04.pdf,Arquivos de fechamento Grupo RTX /0748 - MCR TOTTI FILIAL 01,04-Abr,Venda (Saida),610000.00,MCRTOTTI LTDA / BRA,PDF
0748-05.pdf,Arquivos de fechamento Grupo RTX /0748 - MCR TOTTI FILIAL 01,05-Mai,Venda (Saida),650000.00,MCRTOTTI LTDA / BRA,PDF
0748-06.pdf,Arquivos de fechamento Grupo RTX /0748 - MCR TOTTI FILIAL 01,06-Jun,Venda (Saida),630000.00,MCRTOTTI LTDA / BRA,PDF
0748-07.pdf,Arquivos de fechamento Grupo RTX /0748 - MCR TOTTI FILIAL 01,07-Jul,Venda (Saida),600000.00,MCRTOTTI LTDA / BRA,PDF
0749-01.pdf,Arquivos de fechamento Grupo RTX /0749 - MCR TOTTI FILIAL 02,01-Jan,Venda (Saida),450000.00,MCRTOTTI LTDA / BRA,PDF
0749-02.pdf,Arquivos de fechamento Grupo RTX /0749 - MCR TOTTI FILIAL 02,02-Fev,Venda (Saida),430000.00,MCRTOTTI LTDA / BRA,PDF
0749-03.pdf,Arquivos de fechamento Grupo RTX /0749 - MCR TOTTI FILIAL 02,03-Mar,Venda (Saida),480000.00,MCRTOTTI LTDA / BRA,PDF
0749-04.pdf,Arquivos de fechamento Grupo RTX /0749 - MCR TOTTI FILIAL 02,04-Abr,Venda (Saida),460000.00,MCRTOTTI LTDA / BRA,PDF
0749-05.pdf,Arquivos de fechamento Grupo RTX /0749 - MCR TOTTI FILIAL 02,05-Mai,Venda (Saida),500000.00,MCRTOTTI LTDA / BRA,PDF
0749-06.pdf,Arquivos de fechamento Grupo RTX /0749 - MCR TOTTI FILIAL 02,06-Jun,Venda (Saida),490000.00,MCRTOTTI LTDA / BRA,PDF
0749-07.pdf,Arquivos de fechamento Grupo RTX /0749 - MCR TOTTI FILIAL 02,07-Jul,Venda (Saida),470000.00,MCRTOTTI LTDA / BRA,PDF
0750-01.pdf,Arquivos de fechamento Grupo RTX /0750 - BG ADESIVOS,01-Jan,Venda (Saida),700000.00,BG ADESIVOS LTDA,PDF
0750-02.pdf,Arquivos de fechamento Grupo RTX /0750 - BG ADESIVOS,02-Fev,Venda (Saida),680000.00,BG ADESIVOS LTDA,PDF
0750-03.pdf,Arquivos de fechamento Grupo RTX /0750 - BG ADESIVOS,03-Mar,Venda (Saida),720000.00,BG ADESIVOS LTDA,PDF
0750-04.pdf,Arquivos de fechamento Grupo RTX /0750 - BG ADESIVOS,04-Abr,Venda (Saida),710000.00,BG ADESIVOS LTDA,PDF
0750-05.pdf,Arquivos de fechamento Grupo RTX /0750 - BG ADESIVOS,05-Mai,Venda (Saida),750000.00,BG ADESIVOS LTDA,PDF
0750-06.pdf,Arquivos de fechamento Grupo RTX /0750 - BG ADESIVOS,06-Jun,Venda (Saida),730000.00,BG ADESIVOS LTDA,PDF
0750-07.pdf,Arquivos de fechamento Grupo RTX /0750 - BG ADESIVOS,07-Jul,Venda (Saida),720000.00,BG ADESIVOS LTDA,PDF
0756-01.pdf,Arquivos de fechamento Grupo RTX /0756 - BRTOTTI FILIAL 02,01-Jan,Venda (Saida),2500000.00,RTX IMPORTS COMERCIAL LTDA,PDF
0756-02.pdf,Arquivos de fechamento Grupo RTX /0756 - BRTOTTI FILIAL 02,02-Fev,Venda (Saida),2400000.00,RTX IMPORTS COMERCIAL LTDA,PDF
0756-03.pdf,Arquivos de fechamento Grupo RTX /0756 - BRTOTTI FILIAL 02,03-Mar,Venda (Saida),2600000.00,RTX IMPORTS COMERCIAL LTDA,PDF
0756-04.pdf,Arquivos de fechamento Grupo RTX /0756 - BRTOTTI FILIAL 02,04-Abr,Venda (Saida),2550000.00,RTX IMPORTS COMERCIAL LTDA,PDF
0756-05.pdf,Arquivos de fechamento Grupo RTX /0756 - BRTOTTI FILIAL 02,05-Mai,Venda (Saida),2700000.00,RTX IMPORTS COMERCIAL LTDA,PDF
